method,scenario,episode,success,steps,total_reward,path_length,collisions,replans
A*,aisle,5,True,2,100.97213595499957,2.414213562373095,0,0
A*,aisle,6,True,2,99.09713595499957,2.414213562373095,0,0
A*,aisle,7,True,10,83.5032066392008,10.0,0,0
A*,aisle,8,True,24,61.010984229106015,24.0,0,1
A*,aisle,9,True,27,17.42217672382577,27.414213562373096,0,2
A*,aisle,10,True,18,-6.091685550421957,16.414213562373096,2,2
Pure DDQN,aisle,1,True,84,-710.562984503403,57.87005768508879,34,0
Pure DDQN,aisle,2,False,200,-2468.1607112138427,134.29646455628162,86,0
Pure DDQN,aisle,3,False,200,-1686.9354265820123,154.12489168102786,67,0
Pure DDQN,aisle,4,False,200,-2397.5219014846557,121.08326112068518,93,0
Pure DDQN,aisle,5,True,21,-120.1528640450004,15.82842712474619,6,0
Pure DDQN,aisle,6,True,39,-449.02786404500046,20.656854249492383,20,0
Pure DDQN,aisle,7,False,200,-6601.862183721326,46.0,154,0
Pure DDQN,aisle,8,False,200,-2052.040692474633,138.71067811865473,82,0
Pure DDQN,aisle,9,False,200,-2492.036135237495,131.15432893255064,85,0
Pure DDQN,aisle,10,False,200,-2541.3337190877996,123.4264068711928,89,0
Hybrid DDQN+A*,aisle,1,True,152,-1318.0756088822823,111.08326112068517,55,0
Hybrid DDQN+A*,aisle,2,False,200,-2297.5972732436517,136.22539674441612,82,0
Hybrid DDQN+A*,aisle,3,False,200,-2832.1586753729225,115.25483399593901,98,0
Hybrid DDQN+A*,aisle,4,False,200,-4055.439287504806,96.76955262170044,114,0
Hybrid DDQN+A*,aisle,5,True,48,-801.2778640450003,23.48528137423857,27,1
Hybrid DDQN+A*,aisle,6,True,19,-8.777864045000427,17.485281374238575,4,0
Hybrid DDQN+A*,aisle,7,False,200,-6157.421635508169,49.0,151,17
Hybrid DDQN+A*,aisle,8,False,200,-4491.61533640297,72.72792206135786,131,1
Hybrid DDQN+A*,aisle,9,False,200,-1952.473311813902,145.95331880577405,76,1
Hybrid DDQN+A*,aisle,10,False,200,-3731.155919340874,98.42640687119281,114,1
A*,dense,1,True,4,93.0,4.0,0,0
A*,dense,2,True,34,-94.53122862752241,34.0,0,3
A*,dense,3,False,22,-85.02360896894453,22.82842712474619,0,8
A*,dense,4,True,7,100.89911064067351,7.414213562373095,0,0
A*,dense,5,True,12,80.31432669566726,12.0,0,0
A*,dense,6,True,3,95.47213595499957,3.0,0,0
A*,dense,7,True,10,87.45382042637681,10.414213562373096,0,0
A*,dense,8,True,13,68.87212353336899,13.0,0,1
A*,dense,9,True,6,96.25,6.0,0,0
A*,dense,10,True,5,101.51053902718557,5.414213562373095,0,0
Pure DDQN,dense,1,True,82,-1780.5,28.0,54,0
Pure DDQN,dense,2,False,200,-2320.6423453851266,119.49747468305826,95,0
Pure DDQN,dense,3,False,200,-2751.2843696810455,124.66904755831207,89,0
Pure DDQN,dense,4,True,57,-393.212141018637,44.142135623730944,17,0
Pure DDQN,dense,5,False,200,-2865.9356887902236,110.35533905932732,100,0
Pure DDQN,dense,6,True,46,-1008.2917960675009,9.0,37,0
Pure DDQN,dense,7,False,200,-2088.4375000000005,134.12489168102778,87,0
Pure DDQN,dense,8,False,200,-3970.087203583357,101.42640687119281,111,0
Pure DDQN,dense,9,False,200,-5099.066005617977,49.0,151,0
Pure DDQN,dense,10,True,33,-331.0519609728144,19.899494936611667,16,0
Hybrid DDQN+A*,dense,1,False,200,-3080.8059628003534,98.28427124746186,110,0
Hybrid DDQN+A*,dense,2,False,200,-2009.1417162857447,137.05382386916233,82,1
Hybrid DDQN+A*,dense,3,False,200,-2314.3820627183654,125.22539674441609,93,37
Hybrid DDQN+A*,dense,4,False,200,-5134.4037585032875,81.55634918610404,123,0
Hybrid DDQN+A*,dense,5,False,200,-4175.467868560933,76.79898987322329,129,0
Hybrid DDQN+A*,dense,6,False,200,-4774.81888573323,50.0,150,0
Hybrid DDQN+A*,dense,7,False,200,-3882.558738978733,105.01219330881972,107,0
Hybrid DDQN+A*,dense,8,False,200,-4362.133403319348,60.0,140,1
Hybrid DDQN+A*,dense,9,False,200,-6257.076797057163,49.0,151,0
Hybrid DDQN+A*,dense,10,True,171,-2106.697439934107,104.32590180780446,82,1
